DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,Composite SAT Avg. Score,ell_num,ell_percent,sped_num,sped_percent,ctt_num,selfcontained_num,asian_num,asian_per,black_num,black_per,hispanic_num,hispanic_per,white_num,white_per,male_num,male_per,female_num,female_per,Latitude,Longitude
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,54,383,358,377,1118,19,5,71,18.6,58,7,2,0.5,322,84.3,49,12.8,8,2.1,138,36.1,244,63.9,40.6335392,-73.9174421
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,43,368,378,346,1092,28,9.5,59,20.1,41,6,0,0,259,88.1,26,8.8,5,1.7,189,64.3,105,35.7,40.6480464,-73.9222115
18K576,VICTORY COLLEGIATE HIGH SCHOOL,63,387,377,379,1143,17,5.2,54,16.6,40,8,1,0.3,304,93.5,19,5.8,0,0,159,48.9,166,51.1,40.6335392,-73.9174421
18K578,BROOKLYN BRIDGE ACADEMY,17,384,362,351,1097,6,2.8,24,11.1,16,3,2,0.9,191,88,20,9.2,2,0.9,127,58.5,90,41.5,40.6335512,-73.9174551
18K589,ARTS & MEDIA PREPARATORY ACADEMY,48,361,360,359,1080,10,3.4,51,17.4,23,7,2,0.7,262,89.4,28,9.6,0,0,139,47.4,154,52.6,40.6587,-73.9288
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37,404,393,386,1183,25,8.1,56,18.1,25,15,4,1.3,266,85.8,33,10.6,4,1.3,206,66.5,104,33.5,40.6409517,-73.8976898
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,33,393,395,381,1169,23,7.7,55,18.4,43,7,4,1.3,259,86.6,34,11.4,2,0.7,154,51.5,145,48.5,40.6480444,-73.9222286
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,75,386,380,393,1159,15,3.3,48,10.4,36,7,8,1.7,391,85,57,12.4,1,0.2,99,21.5,361,78.5,40.6405452,-73.8979342
18K635,OLYMPUS ACADEMY,7,400,370,370,1140,3,1.5,19,9.4,4,0,2,1,175,86.2,23,11.3,2,1,102,50.2,101,49.8,40.6460402,-73.8982567
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,35,363,381,367,1111,19,6.9,46,16.8,34,10,6,2.2,230,83.9,33,12,4,1.5,150,54.7,124,45.3,40.6335392,-73.9174422
18K642,URBAN ACTION ACADEMY,40,376,385,374,1135,34,11.1,38,12.5,27,9,7,2.3,251,82.3,32,10.5,12,3.9,191,62.6,114,37.4,40.640423,-73.8984517
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,12,410,403,378,1191,1,0.5,18,8.9,4,1,2,1,180,88.7,19,9.4,1,0.5,106,52.2,97,47.8,40.6597946,-73.9206428
19K409,EAST NEW YORK FAMILY ACADEMY,54,416,432,394,1242,2,0.5,9,2.1,6,0,2,0.5,291,67.2,131,30.3,6,1.4,187,43.2,246,56.8,40.6610312,-73.8869552
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37,341,349,333,1023,19,5,80,21,52,11,4,1,281,73.8,89,23.4,6,1.6,309,81.1,72,18.9,40.6675989,-73.8947925
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,47,363,349,342,1054,39,9.7,65,16.2,35,14,8,2,298,74.3,89,22.2,4,1,218,54.4,183,45.6,40.6668454,-73.8952889
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61,380,386,383,1149,22,4.9,89,19.6,41,26,3,0.7,369,81.5,79,17.4,0,0,233,51.4,220,48.6,40.6668454,-73.8952889
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,68,371,365,370,1106,16,4.2,56,14.7,34,13,8,2.1,308,81.1,54,14.2,5,1.3,140,36.8,240,63.2,40.6668454,-73.8952889
19K583,MULTICULTURAL HIGH SCHOOL,29,279,322,286,887,384,94.6,4,1,0,0,0,0,1,0.2,405,99.8,0,0,202,49.8,204,50.2,40.6930052,-73.8690682
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,182,395,418,380,1193,32,2.4,187,14.2,61,66,58,4.4,928,70.5,306,23.2,20,1.5,1107,84.1,210,15.9,40.678748,-73.8752132
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,60,371,371,354,1096,49,12.1,78,19.3,32,17,30,7.4,155,38.4,203,50.2,12,3,284,70.3,120,29.7,40.6928503,-73.8689912
19K639,BROOKLYN LAB SCHOOL,57,360,385,363,1108,61,15.4,77,19.4,45,21,6,1.5,122,30.7,258,65,5,1.3,232,58.4,165,41.6,40.6928503,-73.8689912
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,51,376,385,368,1129,71,16.2,51,11.7,24,13,36,8.2,74,16.9,320,73.2,6,1.4,209,47.8,228,52.2,40.6930052,-73.8690682
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74,370,369,363,1102,31,5.3,157,26.6,30,93,3,0.5,424,71.9,150,25.4,4,0.7,176,29.8,414,70.2,40.6738562,-73.8961578
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",38,383,400,374,1157,28,9,55,17.7,9,34,31,10,169,54.3,108,34.7,2,0.6,117,37.6,194,62.4,40.6695156,-73.8741107
20K445,NEW UTRECHT HIGH SCHOOL,456,402,471,399,1272,755,23,511,15.6,170,182,1176,35.9,181,5.5,916,28,1000,30.5,1943,59.3,1333,40.7,40.6134264,-74.0029406
